Date,Description,Amount,Category,Note
2026-03-08,Jimmy personal loan to SSS (RBC 4207),100.00,Loan,Internal record
2026-03-02,RBC Account Fee (RBC 4207),-6.00,Bank Fee,Monthly fee
2026-01-28,Ownr Incorporation (Alberta),-281.63,Incorporation,Paid by MasterCard 5646; Total $581.63 - $300 RBC Credit; Jimmy personal loan
